,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,44.92,77,99,1.99,AU,1627148245
1,Havelock,34.8791,-76.9013,86.99,58,1,5.99,US,1627148245
2,Atuona,-9.8,-139.0333,77.97,70,96,16.2,PF,1627147805
3,Vao,-22.6667,167.4833,70.81,84,19,5.68,NC,1627147805
4,Codrington,-38.2667,141.9667,44.98,76,99,23.4,AU,1627147806
5,Malpe,13.35,74.7167,79.9,86,62,10.58,IN,1627147806
6,Ushuaia,-54.8,-68.3,38.82,87,40,5.75,AR,1627147806
7,City of San Pedro,14.35,121.0167,80.15,95,90,2.3,PH,1627147807
8,Cape Town,-33.9258,18.4232,57.11,64,0,2.3,ZA,1627148246
9,Mataura,-46.1927,168.8643,38.48,90,95,3.98,NZ,1627148246
10,Abalak,58.1286,68.5944,58.26,98,99,2.71,RU,1627148246
11,Torbay,47.6666,-52.7314,67.75,72,90,13.8,CA,1627148247
12,Puerto Ayora,-0.7393,-90.3518,78.76,84,31,8.99,EC,1627148247
13,Hamilton,39.1834,-84.5333,88.36,60,1,1.99,US,1627148247
14,New Norfolk,-42.7826,147.0587,44.58,83,96,3.0,AU,1627148247
15,Algiers,36.7525,3.042,89.42,40,40,6.91,DZ,1627148076
16,Touros,-5.1989,-35.4608,88.7,50,12,19.77,BR,1627147809
17,Rio Grande,-32.035,-52.0986,82.51,65,2,5.3,BR,1627147810
18,Shatrovo,56.5167,64.6333,60.42,91,100,1.97,RU,1627147810
19,Pevek,69.7008,170.3133,37.15,92,95,7.23,RU,1627147810
20,Busselton,-33.65,115.3333,56.08,76,97,16.2,AU,1627147811
21,Huarmey,-10.0681,-78.1522,69.35,69,23,11.21,PE,1627147811
22,Hong Kong,22.2855,114.1577,85.98,88,89,11.01,HK,1627147629
23,Punta Arenas,-53.15,-70.9167,42.91,75,75,14.97,CL,1627147542
24,Longyearbyen,78.2186,15.6401,46.24,76,75,5.75,SJ,1627147778
25,Ponta do Sol,32.6667,-17.1,81.72,69,0,4.05,PT,1627147812
26,Manggar,-2.8833,108.2667,81.95,75,3,13.96,ID,1627147812
27,Nome,64.5011,-165.4064,48.27,87,90,8.05,US,1627147812
28,Rikitea,-23.1203,-134.9692,68.77,55,0,2.33,PF,1627147773
29,Bengkulu,-3.8004,102.2655,76.03,87,22,4.23,ID,1627147813
30,Waddān,29.1614,16.139,89.53,22,0,15.19,LY,1627147813
31,Bimbo,4.2567,18.4158,84.13,79,40,4.61,CF,1627147813
32,Dikson,73.5069,80.5464,38.55,96,100,28.45,RU,1627147814
33,Taltal,-25.4,-70.4833,60.35,70,26,8.39,CL,1627147814
34,Morant Bay,17.8815,-76.4093,89.22,63,97,10.69,JM,1627147814
35,Ribeira Grande,38.5167,-28.7,73.8,88,75,11.5,PT,1627147815
36,Yellowknife,62.456,-114.3525,52.32,57,75,3.0,CA,1627147815
37,Barrow,71.2906,-156.7887,41.02,93,90,3.44,US,1627147815
38,Saskylakh,71.9167,114.0833,56.57,59,95,7.0,RU,1627147796
39,Omsukchan,62.5333,155.8,48.74,94,98,5.73,RU,1627147815
40,Saint-Philippe,-21.3585,55.7679,69.39,80,67,6.26,RE,1627147788
41,Hithadhoo,-0.6,73.0833,82.42,77,48,12.17,MV,1627147816
42,Thompson,55.7435,-97.8558,66.36,68,90,11.5,CA,1627147816
